1950,-1.241711171,6.4,-0.6
1950.25,3.040983251,5.6,-0.8
1950.5,7.282530389,4.6,-0.9
1950.75,8.017174778,4.2,-0.4
1951,15.93119205,3.5,-0.7
1951.25,3.872746963,3.1,-0.4
1951.5,-0.205602677,3.2,0.1
1951.75,5.869323807,3.4,0.2
1952,1.517068822,3.1,-0.3
1952.25,1.058535052,3,-0.1
1952.5,2.709153715,3.2,0.3
1952.75,0.449747065,2.8,-0.4
1953,-1.15036028,2.7,-0.1
1953.25,1.499814281,2.6,-0.1
1953.5,1.842059388,2.7,0.2
1953.75,0.694789257,3.7,1.0
1954,0.941002105,5.3,1.6
1954.25,-0.643604322,5.8,0.5
1954.5,-1.041861054,6,0.2
1954.75,-1.243859451,5.3,-0.6
1955,0.547774751,4.7,-0.6
1955.25,-0.547774751,4.4,-0.3
1955.5,0.298879217,4.1,-0.3
1955.75,1.193288641,4.2,0.1
1956,0.04964319,4,-0.2
1956.25,2.622311328,4.2,0.2
1956.5,4.121218843,4.1,-0.1
1956.75,3.402207631,4.1,0.0
1957,3.277521651,3.9,-0.2
1957.25,3.393699033,4.1,0.2
1957.5,3.553894136,4.2,0.1
1957.75,1.929529008,4.9,0.7
1958,4.713898555,6.3,1.4
1958.25,2.682090974,7.4,1.1
1958.5,-0.2305077,7.3,0.0
1958.75,0.414818266,6.4,-1.0
1959,0.690409239,5.8,-0.5
1959.25,0.689219629,5.1,-0.7
1959.5,2.060562052,5.3,0.2
1959.75,2.413349002,5.6,0.3
1960,0.363017609,5.1,-0.5
1960.25,2.396706057,5.2,0.1
1960.5,0.225364815,5.5,0.3
1960.75,2.560224337,6.3,0.7
1961,0.805099232,6.8,0.5
1961.25,-0.134070724,7,0.2
1961.5,1.561369294,6.8,-0.2
1961.75,0.5783884,6.2,-0.6
1962,1.553055365,5.6,-0.6
1962.25,1.502930269,5.5,-0.1
1962.5,1.145501389,5.6,0.0
1962.75,0.966714741,5.5,0.0
1963,1.270746536,5.8,0.2
1963.25,0.743047801,5.7,0.0
1963.5,2.437970107,5.5,-0.2
1963.75,1.083600381,5.6,0.1
1964,1.641470986,5.5,-0.1
1964.25,0.646099317,5.2,-0.3
1964.5,0.902789356,5,-0.2
1964.75,1.842235356,5,0.0
1965,1.237664364,4.9,-0.1
1965.25,2.548590973,4.7,-0.2
1965.5,1.183808073,4.4,-0.3
1965.75,2.105268018,4.1,-0.3
1966,3.720179384,3.9,-0.2
1966.25,3.603441403,3.8,0.0
1966.5,3.448651148,3.8,-0.1
1966.75,3.257015451,3.7,-0.1
1967,1.012402464,3.8,0.1
1967.25,2.419362214,3.8,0.0
1967.5,4.000033334,3.8,0.0
1967.75,4.354323058,3.9,0.1
1968,3.917759037,3.7,-0.2
1968.25,3.879758835,3.6,-0.2
1968.5,5.369208133,3.5,0.0
1968.75,4.921974076,3.4,-0.1
1969,4.862144952,3.4,0.0
1969.25,6.270298982,3.4,0.0
1969.5,5.452151652,3.6,0.1
1969.75,6.090578933,3.6,0.0
1970,6.349339663,4.2,0.6
1970.25,5.560471818,4.8,0.6
1970.5,4.120208103,5.2,0.4
1970.75,5.76525453,5.8,0.7
1971,3.352911501,5.9,0.1
1971.25,3.656028776,5.9,0.0
1971.5,3.950649398,6,0.1
1971.75,2.937589702,5.9,-0.1
1972,3.238884093,5.8,-0.2
1972.25,2.572356132,5.7,-0.1
1972.5,3.192355332,5.6,-0.1
1972.75,4.112333572,5.4,-0.2
1973,6.245247863,4.9,-0.4
1973.25,8.279329686,4.9,0.0
1973.5,7.813922408,4.8,-0.1
1973.75,9.993172196,4.8,0.0
1974,11.72769023,5.1,0.4
1974.25,10.57085161,5.2,0.1
1974.5,11.10054315,5.6,0.4
1974.75,12.0982266,6.6,1.0
1975,8.459142551,8.3,1.7
1975.25,4.790476419,8.9,0.6
1975.5,7.940707421,8.5,-0.4
1975.75,7.303915653,8.3,-0.2
1976,4.557770451,7.7,-0.6
1976.25,3.561911337,7.6,-0.2
1976.5,6.332586087,7.7,0.2
1976.75,5.775439634,7.8,0.0
1977,7.272927633,7.5,-0.3
1977.25,6.921746816,7.1,-0.4
1977.5,5.496101857,6.9,-0.2
1977.75,5.852176995,6.7,-0.2
1978,6.826832375,6.3,-0.3
1978.25,8.993842942,6,-0.3
1978.5,9.200507836,6,0.0
1978.75,9.191213575,5.9,-0.1
1979,9.949305898,5.9,0.0
1979.25,12.51880269,5.7,-0.2
1979.5,12.68197194,5.9,0.2
1979.75,12.46761657,6,0.1
1980,15.47914551,6.3,0.3
1980.25,13.27371899,7.3,1.0
1980.5,7.437562701,7.7,0.3
1980.75,11.05915624,7.4,-0.3
1981,10.91326096,7.4,0.0
1981.25,8.253903814,7.4,0.0
1981.5,10.98768957,7.4,0.0
1981.75,6.450596701,8.2,0.8
1982,3.539219692,8.8,0.6
1982.25,5.737373157,9.4,0.6
1982.5,6.887222486,9.9,0.5
